,block_id,previous_solution,timeout,initial_n_instrs,initial_estimated_size,initial_estimated_gas,rules,initial_length,saved_length,chosen_block_tag,solver_time_in_sec,saved_size,saved_gas,model_found,shown_optimal,solution_found,optimized_n_instrs,optimized_length,optimized_estimated_size,optimized_estimated_gas,outcome,forves_checker
0,isolated_block_0_0,PUSH 40 MLOAD DUP1 PUSH 4 ADD DUP1 PUSH a0 ADD SWAP2 PUSH 1101335b PUSH e1 SHL SWAP1 MSTORE DUP14 DUP2,4,16,24,48,,16,2,greedy_not_enabled,1.519,2,6,True,True,PUSH 40 MLOAD DUP13 DUP2 PUSH 4 ADD PUSH 1101335b PUSH e1 SHL DUP2 PUSH a0 ADD SWAP4 MSTORE,14.0,14.0,22.0,42.0,model,disabled
1,isolated_block_0_1,PUSH 40 DUP2 PUSH 20 ADD MSTORE PUSH 27 DUP2 PUSH 40 ADD MSTORE PUSH 41413336206f766572207061796d6173746572566572696669636174696f6e47 DUP2 PUSH 60 ADD MSTORE PUSH 185cd31a5b5a5d PUSH ca SHL SWAP1 PUSH 80 ADD MSTORE PUSH [tag] 128,10,23,71,69,,23,0,greedy_not_enabled,4.156,0,0,False,False,,,,,,unsat,true
